Date/Time,Word Count,bg,de,en,fr,nl,pt-BR,pt-PT,ru,sk
2017.06.17-22.36.27,221,0,0,221,0,0,0,0,0,0
2017.06.18-10.27.15,236,0,0,236,0,0,0,0,0,0
2017.06.18-16.11.51,236,9,0,236,0,0,0,0,0,0
2017.06.18-17.54.23,617,9,0,617,0,0,0,0,0,0
2017.06.18-23.48.25,617,189,0,617,0,0,0,0,0,0
2017.06.22-08.28.10,630,189,0,630,0,0,0,0,0,0
2017.06.22-22.34.56,630,628,0,630,0,0,0,0,0,0
2017.07.01-10.07.04,630,628,0,630,0,0,0,0,0,630
2017.07.02-19.36.32,630,628,630,630,0,0,0,0,0,630
2017.07.06-19.21.47,630,628,630,630,0,0,630,0,0,630
2017.07.07-23.26.13,630,628,630,630,0,0,630,630,0,630
2017.07.13-17.49.36,630,628,630,630,630,0,630,630,0,630
2017.07.13-17.51.10,630,628,630,630,630,0,630,630,630,630
2017.07.17-08.16.23,603,590,592,603,592,0,592,592,592,592
2017.07.17-18.37.59,603,590,592,603,592,0,592,592,592,603
2017.07.19-22.43.08,603,590,592,603,603,0,592,592,592,603
2017.07.19-23.22.31,845,590,592,845,603,0,592,592,592,603
2017.07.20-21.50.24,845,590,592,845,603,0,592,592,592,845
2017.07.26-21.49.22,845,590,592,845,603,0,592,592,845,845
2017.07.26-23.30.43,845,841,592,845,603,0,592,592,845,845
2017.07.28-21.24.27,845,841,845,845,603,0,592,592,845,845
2017.08.07-20.49.33,845,841,845,845,603,845,592,592,845,845
2017.08.08-20.53.21,845,841,845,845,603,845,592,845,845,845
2017.08.11-21.07.44,845,841,834,845,603,845,592,845,845,845
2017.08.21-20.02.01,845,841,845,845,603,845,592,845,845,845
2017.08.21-20.18.00,850,841,845,850,603,845,592,845,845,845
2017.08.23-22.26.19,850,841,850,850,603,850,592,850,845,845
2017.08.23-22.27.12,912,758,767,912,520,767,509,767,762,762
2017.08.25-20.29.06,912,758,767,912,520,912,509,767,762,905
